Angle,Inner_Radius,Outer_Radius,Distance
0,159.0,295.0423698386386,136.0423698386386
1,159.02829936838285,295.16944286290885,136.141143494526
2,159.11316727411344,295.3811097548386,136.26794248072514
3,159.25451327984396,295.67718883945037,136.4226755596064
4,159.45218719101973,295.8952517361507,136.443064545131
5,159.6151621870554,295.526648544594,135.91148635753862
6,159.13830462839547,296.1958811327396,137.05757650434413
7,159.26079241294764,296.31908477180474,137.0582923588571
8,159.66527487215245,296.5889411289639,136.92366625681143
9,160.12495120998477,296.7456823611761,136.6207311511913
10,159.47727110782904,297.13464961192255,137.65737850409351
11,160.0312469488381,297.32473829131675,137.29349134247866
12,160.099968769516,297.5315109362368,137.43154216672082
13,160.3277892319357,297.8657415682441,137.53795233630842
14,160.80111939908875,298.3236497497307,137.52253035064194
15,160.58953888718904,298.63857754817946,138.04903866099042
16,161.40012391568973,299.0401310861136,137.64000717042387
17,161.3071604114337,299.4812181089158,138.1740576974821
18,161.27616066858735,300.10831378020833,138.83215311162098
19,161.3071604114337,300.48294460751015,139.17578419607645
20,161.9876538505327,300.6825568602209,138.69490300968823
21,161.55494421403512,301.1992695874278,139.6443253733927
22,161.7714437099453,302.00662244394573,140.23517873400044
23,161.64467204334326,302.27470949452584,140.63003745118257
24,161.05899540230592,302.90922732726386,141.85023192495794
25,161.01242188104618,303.67416748877406,142.66174560772788
26,160.99689437998487,304.11346566701053,143.11657128702566
27,160.55528642807124,304.64733709651887,144.09205066844763
28,159.7779709471866,305.2752856030111,145.49731465582454
29,159.38946012832844,305.87088779418025,146.4814276658518
30,159.15401345866212,306.8110167513546,147.65700329269248
31,158.47397262642215,306.4718584144391,147.99788578801696
32,157.84169284444462,301.8873962258113,144.04570338136668
33,157.25775020646836,291.7755987055806,134.51784849911223
34,157.54681843820268,292.3850201361212,134.83820169791855
35,157.63248396190426,292.8361316504505,135.20364768854625
36,158.00316452527144,293.60006811988313,135.5969035946117
37,158.40454538932903,294.4299577149037,136.02541232557468
38,158.83639381451596,295.16944286290885,136.3330490483929
39,159.15401345866212,295.51311307622206,136.35909961755993
40,159.55249919697278,296.33089612796033,136.77839693098755
41,160.0312469488381,296.89223634174067,136.86098939290258
42,160.63934760823702,297.8808486626826,137.24150105444556
43,160.58953888718904,298.4526763156933,137.86313742850425
44,161.22654868228122,299.127063302537,137.9005146202558
45,91.93475947648963,299.84329240454923,207.9085329280596
46,91.2414379544733,300.66093860027775,209.41950064580445
47,91.28526715741155,301.6289110811495,210.34364392373794
48,92.09777413162601,301.8774585821207,209.7796844504947
49,92.19544457292888,301.65709008740373,209.46164551447487
50,92.31467922275417,302.42354405700627,210.1088648342521
51,92.45539465060976,302.67639485100256,210.22100020039278
52,92.61749294814668,310.60103026229643,217.98353731414977
53,93.00537618869137,317.83328963467625,224.82791344598488
54,93.81364506296512,323.76071410842917,229.94706904546405
55,174.49641830135081,328.3900120283807,153.89359372702987
56,175.84083712266613,325.90335990903804,150.06252278637191
57,176.17321022221284,327.96341259353915,151.7902023713263
58,176.49079296099274,327.43396280776983,150.9431698467771
59,177.15812146215595,324.8538132760642,147.69569181390827
60,177.74701122663075,326.3525700833379,148.60555885670718
61,178.13478043324386,332.412394474093,154.27761404084913
62,178.89941307897016,332.77770358003255,153.8782905010624
63,178.4432682955566,333.6240399012038,155.18077160564718
64,178.89941307897016,334.6236692166291,155.72425613765893
65,179.42686532400882,335.26854907670656,155.84168375269775
66,180.02499826412998,336.0133925902359,155.98839432610595
67,180.6931099959265,336.857536653108,156.1644266571815
68,180.86735471057236,337.80023682644156,156.9328821158692
69,181.29809706668186,338.49667649771686,157.198579431035
70,181.5543995611233,339.03392160667346,157.47952204555017
71,181.8378398463862,339.94852551526094,158.11068566887474
72,182.18671740826773,340.3321906608307,158.14547325256297
73,182.56231812726304,340.8005281686048,158.23821004134174
74,182.69373278796402,341.2037514447929,158.51001865682886
75,183.13383084509536,342.4616766880639,159.32784584296854
76,183.35757415498276,342.70978976387585,159.3522156088931
77,183.41483037093812,343.0757933751666,159.66096300422848
78,183.76343488300387,343.5956926388921,159.83225775588824
79,187.11493793922494,344.26879033685293,157.153852397628
80,187.57931655702342,344.41980198589044,156.84048542886703
81,188.2471779336944,344.79269133785306,156.54551340415867
82,189.52572384771415,345.0797009387831,155.55397709106896
83,189.06083676954358,345.44174617437307,156.38090940482948
84,188.95766721676048,345.77593901253454,156.81827179577405
85,189.51780918953236,346.13436697328973,156.61655778375737
86,189.44656238633627,345.83377510011945,156.38721271378319
87,206.24257562394823,346.4678917302439,140.22531610629565
88,190.04210059878838,346.2080299473136,156.16592934852522
89,190.0026315607234,346.0520192109851,156.04938765026174
90,239.0,347.0518693221519,108.0518693221519
91,199.090431713832,347.09220676932523,148.00177505549323
92,191.1674658512792,346.4678917302439,155.3004258789647
93,191.3164917094185,346.8313711301214,155.5148794207029
94,191.51240168720145,347.1310991541956,155.61869746699418
95,194.03350226185168,346.8731756708783,152.83967340902663
96,193.3726971420733,346.5544690232691,153.18177188119583
97,194.48650338776724,346.3423162133094,151.85581282554216
98,195.020511741714,346.62515777133086,151.60464602961687
99,196.46119209655632,346.39428401750513,149.9330919209488
100,237.11811402758752,345.9710970586994,108.85298303111188
101,236.91348631937356,345.7528018686183,108.83931554924473
102,236.56288804459587,345.5835644240044,109.02067637940854
103,236.25410049351524,345.16228067388823,108.908180180373
104,236.23081932719955,344.8941866717965,108.66336734459694
105,236.1228493814184,344.5112480021516,108.3883986207332
106,236.00847442411893,343.96075357517174,107.9522791510528
107,235.63743335896356,343.49381362697056,107.856380268007
108,235.27430798963155,343.11076928595526,107.8364612963237
109,234.6955474652214,342.86148806770353,108.16594060248212
110,234.55702931270255,342.4675167077894,107.91048739508685
111,233.98504225697846,342.2528305215313,108.26778826455282
112,234.1644721130855,341.31656859871305,107.15209648562754
113,233.8567937862828,340.87241014784405,107.01561636156126
114,326.58842600435185,339.73666272570586,13.14823672135401
115,319.7889929312765,333.29416436535456,13.505171434078079
116,318.4211048281819,319.7655391063896,1.3444342782077001
117,318.05974281571696,319.363429340305,1.303686524588045
118,317.6476034853718,318.68009037277494,1.032486887403138
119,317.03627552694974,318.29074758779905,1.2544720608493094
120,316.4316671889841,317.6570477732235,1.2253805842394172
